requirement_id,requirement_text,requirement_type,coverage_id,coverage_description,suite_id,suite_name,test_case_id,technique,risk_level
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-019,Test data range and boundaries: title:string,TS-039,Todo Validation Boundary Suite,TC-146,Boundary Value Analysis,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-019,Test data range and boundaries: title:string,TS-039,Todo Validation Boundary Suite,TC-147,Boundary Value Analysis,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-019,Test data range and boundaries: title:string,TS-039,Todo Validation Boundary Suite,TC-148,Boundary Value Analysis,Medium
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-067,"Test title with only whitespace characters of varying lengths (1, 100, 101) after trimming",TS-039,Todo Validation Boundary Suite,TC-149,Boundary Value Analysis,Medium
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-067,"Test title with only whitespace characters of varying lengths (1, 100, 101) after trimming",TS-039,Todo Validation Boundary Suite,TC-150,Boundary Value Analysis,Medium
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-067,"Test title with only whitespace characters of varying lengths (1, 100, 101) after trimming",TS-039,Todo Validation Boundary Suite,TC-151,Boundary Value Analysis,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-069,Test title exactly 100 characters and 101 characters to confirm rejection boundary,TS-039,Todo Validation Boundary Suite,TC-152,Boundary Value Analysis,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-069,Test title exactly 100 characters and 101 characters to confirm rejection boundary,TS-039,Todo Validation Boundary Suite,TC-153,Boundary Value Analysis,Medium
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-010,Validate condition: title has leading/trailing whitespace,TS-040,Todo Validation Decision Rule Suite,TC-154,Decision Table Testing,Low
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-010,Validate condition: title has leading/trailing whitespace,TS-040,Todo Validation Decision Rule Suite,TC-155,Decision Table Testing,Low
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-014,Validate condition: title is empty or whitespace only after trimming,TS-040,Todo Validation Decision Rule Suite,TC-156,Decision Table Testing,Medium
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-014,Validate condition: title is empty or whitespace only after trimming,TS-040,Todo Validation Decision Rule Suite,TC-157,Decision Table Testing,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-018,Validate condition: title length > 100 characters,TS-040,Todo Validation Decision Rule Suite,TC-158,Decision Table Testing,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-018,Validate condition: title length > 100 characters,TS-040,Todo Validation Decision Rule Suite,TC-159,Decision Table Testing,Medium
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-008,Verify core behavior: trim whitespace from title before saving,TS-041,Todo Validation Functional Suite,TC-160,Equivalence Partitioning,Low
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-008,Verify core behavior: trim whitespace from title before saving,TS-041,Todo Validation Functional Suite,TC-161,Equivalence Partitioning,Low
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-012,Verify core behavior: reject creation or edit,TS-041,Todo Validation Functional Suite,TC-162,Equivalence Partitioning,Medium
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-012,Verify core behavior: reject creation or edit,TS-041,Todo Validation Functional Suite,TC-163,Equivalence Partitioning,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-016,Verify core behavior: reject creation or edit,TS-041,Todo Validation Functional Suite,TC-164,Equivalence Partitioning,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-016,Verify core behavior: reject creation or edit,TS-041,Todo Validation Functional Suite,TC-165,Equivalence Partitioning,Medium
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-009,Test input field 'title' with valid and invalid data,TS-042,Todo Validation Input Partition Suite,TC-166,Equivalence Partitioning,Low
REQ-TODO-002,The system shall trim leading and trailing whitespace from a Todo item title before saving it during creation or editing.,original,COV-009,Test input field 'title' with valid and invalid data,TS-042,Todo Validation Input Partition Suite,TC-167,Equivalence Partitioning,Low
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-013,Test input field 'title' with valid and invalid data,TS-042,Todo Validation Input Partition Suite,TC-168,Equivalence Partitioning,Medium
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-013,Test input field 'title' with valid and invalid data,TS-042,Todo Validation Input Partition Suite,TC-169,Equivalence Partitioning,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-017,Test input field 'title' with valid and invalid data,TS-042,Todo Validation Input Partition Suite,TC-170,Equivalence Partitioning,Medium
REQ-TODO-004,The system shall reject a Todo item title longer than 100 characters during creation or editing.,original,COV-017,Test input field 'title' with valid and invalid data,TS-042,Todo Validation Input Partition Suite,TC-171,Equivalence Partitioning,Medium
REQ-TODO-003,The system shall reject a Todo item title that is empty or contains only whitespace after trimming during creation or editing.,original,COV-068,Verify error message or status code when rejecting empty/whitespace-only title during creation and editing,TS-043,Todo Validation Error State Suite,TC-172,State Transition Testing,Medium
REQ-TODO-001,Users shall be able to add a new Todo item to a specified List.,original,COV-066,Verify adding a todo to a list that is full or has reached max capacity,TS-021,Todo Creation State Transition,TC-173,State Transition Testing,Medium
REQ-TODO-005,Users shall be able to toggle a Todo item between active and completed status.,original,COV-070,Verify toggling a completed item back to active and vice versa multiple times,TS-016,Todo Completion State Transition,TC-174,State Transition Testing,Medium
REQ-TODO-009,The system shall cancel editing and keep the original title when the user presses Escape.,original,COV-074,Verify pressing Escape during edit reverts title to original and exits edit mode,TS-033,Todo Editing Escape State Suite,TC-175,State Transition Testing,Medium
REQ-TODO-011,Users shall be able to use a single control to mark all Todo items in the current List as completed or active.,original,COV-076,"Verify marking all items as completed when some are already completed, and marking all active when some are already active",TS-006,Todo Bulk Update State Behavior,TC-176,State Transition Testing,Medium
