coverage_id,requirement_id,description,coverage_type,risk_level,related_techniques,tags,notes
COV-187,REQ-TODO-058,Validate condition: Todo is completed,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-188,REQ-TODO-059,Verify core behavior: Mark Todo as completed,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: The Todo completion state is updated
COV-189,REQ-TODO-059,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The Todo completion state is updated
COV-190,REQ-TODO-059,Validate condition: Todo is completed,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: The Todo completion state is updated
COV-191,REQ-TODO-060,Verify core behavior: Delete Todo,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: The selected Todo is removed from the list
COV-192,REQ-TODO-060,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The selected Todo is removed from the list
COV-193,REQ-TODO-060,Validate condition: Todo exists before deletion,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: The selected Todo is removed from the list
COV-194,REQ-TODO-061,Verify core behavior: Persist Todo list,Functional,High,['Equivalence Partitioning'],['core'],Expected result basis: Todo list data is preserved as required
COV-195,REQ-TODO-061,Test input field 'Todo text' with valid and invalid data,Input,High,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Todo list data is preserved as required
COV-196,REQ-TODO-062,Verify core behavior: Persist Todo list,Functional,High,['Equivalence Partitioning'],['core'],Expected result basis: Todo list data is preserved as required
COV-197,REQ-TODO-062,Test input field 'Todo text' with valid and invalid data,Input,High,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Todo list data is preserved as required
COV-198,REQ-TODO-063,Verify core behavior: Persist Todo list,Functional,High,['Equivalence Partitioning'],['core'],Expected result basis: Todo list data is preserved as required
COV-199,REQ-TODO-063,Test input field 'Todo text' with valid and invalid data,Input,High,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Todo list data is preserved as required
COV-200,REQ-TODO-064,Verify core behavior: Delete Todo,Functional,High,['Equivalence Partitioning'],['core'],Expected result basis: The selected Todo is removed from the list
COV-201,REQ-TODO-064,Test input field 'Todo text' with valid and invalid data,Input,High,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The selected Todo is removed from the list
COV-202,REQ-TODO-064,Validate condition: Todo exists before deletion,Condition,High,['Decision Table Testing'],['condition'],Expected result basis: The selected Todo is removed from the list
COV-203,REQ-TODO-065,Verify core behavior: The system shall restore todo items from local storage on page load.,Functional,High,['Equivalence Partitioning'],['core'],
COV-204,REQ-TODO-065,Test input field 'Todo text' with valid and invalid data,Input,High,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-205,REQ-TODO-066,Verify core behavior: Refresh page,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: Todo list data is preserved as required
COV-206,REQ-TODO-066,Validate condition: Page is refreshed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: Todo list data is preserved as required
COV-207,REQ-TODO-067,Verify core behavior: The system shall handle missing local storage data without crashing.,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-208,REQ-TODO-068,Verify core behavior: The system shall handle corrupted local storage data by starting with an empty list.,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-209,REQ-TODO-068,Validate condition: Todo text is empty,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-210,REQ-TODO-069,Verify core behavior: The system shall reject todo text longer than 100 characters.,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-211,REQ-TODO-069,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-212,REQ-TODO-069,Test data range and boundaries: 100 characters,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-213,REQ-TODO-070,Verify core behavior: The system shall accept todo text with exactly 100 characters.,Functional,Low,['Equivalence Partitioning'],['core'],
COV-214,REQ-TODO-070,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-215,REQ-TODO-070,Test data range and boundaries: 100 characters,Boundary,Low,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],
COV-216,REQ-TODO-071,Verify core behavior: The system shall accept todo text with exactly 1 character.,Functional,Low,['Equivalence Partitioning'],['core'],
COV-217,REQ-TODO-071,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-218,REQ-TODO-071,Test data range and boundaries: 1 character,Boundary,Low,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],
COV-219,REQ-TODO-072,Verify core behavior: The system shall reject todo text with zero characters.,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-220,REQ-TODO-072,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-221,REQ-TODO-073,Verify core behavior: The system shall reject blank todo input after whitespace trimming.,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-222,REQ-TODO-073,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: Invalid input is rejected and no invalid Todo is created
COV-223,REQ-TODO-074,Verify core behavior: Display Todo list,Functional,Medium,['Equivalence Partitioning'],['core'],
COV-224,REQ-TODO-074,Test input field 'Todo text' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],
COV-225,REQ-TODO-075,Verify core behavior: Delete Todo,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: The selected Todo is removed from the list
COV-226,REQ-TODO-075,Test input field 'Todo text' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: The selected Todo is removed from the list
COV-227,REQ-TODO-076,Verify core behavior: system prevents duplicate,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: no duplicate created
COV-228,REQ-TODO-076,Test input field 'Enter key press' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: no duplicate created
COV-229,REQ-TODO-076,Validate condition: duplicate submission prevention,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: no duplicate created
COV-230,REQ-TODO-076,Test data range and boundaries: repeated presses,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: no duplicate created
COV-231,REQ-TODO-077,Verify core behavior: all items selected,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: all items checked
COV-232,REQ-TODO-077,Test input field 'select all action' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: all items checked
COV-233,REQ-TODO-077,Validate condition: user selects all,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: all items checked
COV-234,REQ-TODO-078,Verify core behavior: all items unselected,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: no items checked
COV-235,REQ-TODO-078,Test input field 'unselect all action' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: no items checked
COV-236,REQ-TODO-078,Validate condition: user unselects all,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: no items checked
COV-237,REQ-TODO-079,Verify core behavior: selected items removed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: items deleted
COV-238,REQ-TODO-079,Test input field 'delete selected action' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: items deleted
COV-239,REQ-TODO-079,Validate condition: user deletes selected,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: items deleted
COV-240,REQ-TODO-079,Test data range and boundaries: selected items exist,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: items deleted
COV-241,REQ-TODO-080,Verify core behavior: selected items completed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: items marked done
COV-242,REQ-TODO-080,Test input field 'mark completed action' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: items marked done
COV-243,REQ-TODO-080,Validate condition: user marks completed,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: items marked done
COV-244,REQ-TODO-080,Test data range and boundaries: selected items exist,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: items marked done
COV-245,REQ-TODO-081,Verify core behavior: selected items active,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: items marked undone
COV-246,REQ-TODO-081,Test input field 'mark active action' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: items marked undone
COV-247,REQ-TODO-081,Validate condition: user marks active,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: items marked undone
COV-248,REQ-TODO-081,Test data range and boundaries: selected items exist,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: items marked undone
COV-249,REQ-TODO-082,Verify core behavior: counts recalculated,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: correct counts shown
COV-250,REQ-TODO-082,Test input field 'bulk operation performed' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: correct counts shown
COV-251,REQ-TODO-082,Validate condition: system updates counts,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: correct counts shown
COV-252,REQ-TODO-083,Verify core behavior: system filters items,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: matching items shown
COV-253,REQ-TODO-083,Test input field 'search input' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: matching items shown
COV-254,REQ-TODO-083,Validate condition: user searches,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: matching items shown
COV-255,REQ-TODO-083,Test data range and boundaries: text entered,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: matching items shown
COV-256,REQ-TODO-084,Verify core behavior: matching items displayed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: filtered list shown
COV-257,REQ-TODO-084,Test input field 'search term' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: filtered list shown
COV-258,REQ-TODO-084,Validate condition: system shows matches,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: filtered list shown
COV-259,REQ-TODO-084,Test data range and boundaries: matching items exist,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: filtered list shown
COV-260,REQ-TODO-085,Verify core behavior: empty result message,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: message displayed
COV-261,REQ-TODO-085,Test input field 'search term' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: message displayed
COV-262,REQ-TODO-085,Validate condition: system shows message,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: message displayed
COV-263,REQ-TODO-085,Test data range and boundaries: no matches,Boundary,Low,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: message displayed
COV-264,REQ-TODO-086,Verify core behavior: case ignored,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: matches regardless of case
COV-265,REQ-TODO-086,Test input field 'search input' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: matches regardless of case
COV-266,REQ-TODO-086,Validate condition: system performs search,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: matches regardless of case
COV-267,REQ-TODO-086,Test data range and boundaries: case insensitive,Boundary,Low,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: matches regardless of case
COV-268,REQ-TODO-087,Verify core behavior: search results updated,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: edited item reflected
COV-269,REQ-TODO-087,Test input field 'todo item edited' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: edited item reflected
COV-270,REQ-TODO-087,Validate condition: system updates results,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: edited item reflected
COV-271,REQ-TODO-087,Test data range and boundaries: search active,Boundary,Low,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: edited item reflected
COV-272,REQ-TODO-088,Verify core behavior: all items shown,Functional,Low,['Equivalence Partitioning'],['core'],Expected result basis: full list restored
COV-273,REQ-TODO-088,Test input field 'search input cleared' with valid and invalid data,Input,Low,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: full list restored
COV-274,REQ-TODO-088,Validate condition: system clears results,Condition,Low,['Decision Table Testing'],['condition'],Expected result basis: full list restored
COV-275,REQ-TODO-089,Verify core behavior: todo input focused,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: input has focus
COV-276,REQ-TODO-089,Test input field 'keyboard navigation' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: input has focus
COV-277,REQ-TODO-089,Validate condition: user focuses input,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: input has focus
COV-278,REQ-TODO-090,Verify core behavior: focus moves between items,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: next item focused
COV-279,REQ-TODO-090,Test input field 'Tab key' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: next item focused
COV-280,REQ-TODO-090,Validate condition: user moves focus,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: next item focused
COV-281,REQ-TODO-091,Verify core behavior: completion toggled,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: state changed
COV-282,REQ-TODO-091,Test input field 'Space key' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: state changed
COV-283,REQ-TODO-091,Validate condition: user toggles item,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: state changed
COV-284,REQ-TODO-091,Test data range and boundaries: item focused,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: state changed
COV-285,REQ-TODO-092,Verify core behavior: item removed,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: item deleted
COV-286,REQ-TODO-092,Test input field 'keyboard shortcut' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: item deleted
COV-287,REQ-TODO-092,Validate condition: user deletes item,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: item deleted
COV-288,REQ-TODO-092,Test data range and boundaries: item focused,Boundary,Medium,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: item deleted
COV-289,REQ-TODO-093,Verify core behavior: accessible labels present,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: labels announced
COV-290,REQ-TODO-093,Test input field 'todo input controls' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: labels announced
COV-291,REQ-TODO-093,Validate condition: system provides labels,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: labels announced
COV-292,REQ-TODO-094,Verify core behavior: state to screen reader,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: state announced
COV-293,REQ-TODO-094,Test input field 'completion state' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: state announced
COV-294,REQ-TODO-094,Validate condition: system exposes state,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: state announced
COV-295,REQ-TODO-095,Verify core behavior: sufficient contrast,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: contrast ratio met
COV-296,REQ-TODO-095,Test input field 'status indicators' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: contrast ratio met
COV-297,REQ-TODO-095,Validate condition: system ensures contrast,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: contrast ratio met
COV-298,REQ-TODO-096,Verify core behavior: focus indicator shown,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: focus visible
COV-299,REQ-TODO-096,Test input field 'keyboard navigation' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: focus visible
COV-300,REQ-TODO-096,Validate condition: system keeps focus visible,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: focus visible
COV-301,REQ-TODO-097,Verify core behavior: text sanitized,Functional,High,['Equivalence Partitioning'],['core'],Expected result basis: safe output
COV-302,REQ-TODO-097,Test input field 'todo text' with valid and invalid data,Input,High,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: safe output
COV-303,REQ-TODO-097,Validate condition: system sanitizes text,Condition,High,['Decision Table Testing'],['condition'],Expected result basis: safe output
COV-304,REQ-TODO-098,Verify core behavior: script not executed,Functional,High,['Equivalence Partitioning'],['core'],Expected result basis: no script run
COV-305,REQ-TODO-098,Test input field 'todo text' with valid and invalid data,Input,High,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: no script run
COV-306,REQ-TODO-098,Validate condition: system prevents execution,Condition,High,['Decision Table Testing'],['condition'],Expected result basis: no script run
COV-307,REQ-TODO-098,Test data range and boundaries: script present,Boundary,High,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: no script run
COV-308,REQ-TODO-099,Verify core behavior: no credentials stored,Functional,Medium,['Equivalence Partitioning'],['core'],Expected result basis: metadata safe
COV-309,REQ-TODO-099,Test input field 'todo text metadata' with valid and invalid data,Input,Medium,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: metadata safe
COV-310,REQ-TODO-099,Validate condition: system does not store,Condition,Medium,['Decision Table Testing'],['condition'],Expected result basis: metadata safe
COV-311,REQ-TODO-100,Verify core behavior: access denied,Functional,High,['Equivalence Partitioning'],['core'],Expected result basis: unauthorized blocked
COV-312,REQ-TODO-100,Test input field 'admin features' with valid and invalid data,Input,High,"['Equivalence Partitioning', 'Boundary Value Analysis']",['input'],Expected result basis: unauthorized blocked
COV-313,REQ-TODO-100,Validate condition: system prevents access,Condition,High,['Decision Table Testing'],['condition'],Expected result basis: unauthorized blocked
COV-314,REQ-TODO-100,Test data range and boundaries: unauthorized access,Boundary,High,"['Boundary Value Analysis', 'Equivalence Partitioning']",['boundary'],Expected result basis: unauthorized blocked
COV-AI-001,REQ-TODO-003,Test error when text exceeds 100 characters,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-002,REQ-TODO-008,Test persistence after refresh with multiple items,State Transition,Medium,['State Transition Testing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-003,REQ-TODO-009,Test error when Enter pressed with empty text,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-004,REQ-TODO-010,Test error when text has only spaces after trim,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-005,REQ-TODO-015,Test error when editing active todo with invalid text,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-006,REQ-TODO-016,Test error when editing completed todo with invalid text,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-007,REQ-TODO-017,Test error when saving edit with invalid text,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-008,REQ-TODO-018,Test error when canceling edit with unsaved changes,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-009,REQ-TODO-019,Test error when editing with empty text,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-010,REQ-TODO-020,Test error when editing with text exceeding 100 characters,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-011,REQ-TODO-021,Test state transition after editing completed todo,State Transition,Medium,['State Transition Testing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-012,REQ-TODO-022,Test error when display fails after edit,Error,Medium,['Error Guessing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-013,REQ-TODO-023,Test state transition when marking all active as completed,State Transition,Medium,['State Transition Testing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-014,REQ-TODO-024,Test state transition when marking all completed as active,State Transition,Medium,['State Transition Testing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-015,REQ-TODO-025,Test state transition immediately after toggle,State Transition,Medium,['State Transition Testing'],['llm-suggested'],Missing error and state transition coverage for several requirements.
COV-AI-016,REQ-TODO-026,Toggle completion on item with empty text,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-017,REQ-TODO-027,Count update after toggle from active to completed,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-018,REQ-TODO-028,Count update after toggle from completed to active,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-019,REQ-TODO-029,Repeated toggle between active and completed,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-020,REQ-TODO-030,Completed style on item with very long text,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-021,REQ-TODO-031,Delete non-existent active todo,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-022,REQ-TODO-032,Delete non-existent completed todo,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-023,REQ-TODO-033,Item removed from active filter after deletion,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-024,REQ-TODO-034,Count update after deleting last item,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-025,REQ-TODO-035,Delete item while another is being deleted,Error,Medium,['Error Guessing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-026,REQ-TODO-036,Delete last remaining item with long text,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-027,REQ-TODO-037,Empty list state after deleting all items,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-028,REQ-TODO-038,Clear all completed with zero completed items,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-029,REQ-TODO-039,Active style on item with very long text,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-030,REQ-TODO-040,Completed style on item with special characters,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-031,REQ-TODO-041,Order after adding items with same creation time,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-032,REQ-TODO-042,Empty state message with zero items after deletion,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-033,REQ-TODO-043,Hide container after deleting last item,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-034,REQ-TODO-044,Show container after adding first item,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-035,REQ-TODO-045,Long text with maximum allowed characters,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-036,REQ-TODO-046,Spacing between items with varying text lengths,Boundary,Medium,['Boundary Value Analysis'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-037,REQ-TODO-047,View all after switching from active filter,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-038,REQ-TODO-048,View active after switching from completed filter,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-039,REQ-TODO-049,View completed after switching from active filter,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-040,REQ-TODO-050,Filter remains visible after toggling item completion,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Identified 26 missing coverage items focusing on boundary, state transition, and error scenarios not covered by existing tests."
COV-AI-041,REQ-TODO-051,Missing test for state change from active to completed while filter is active,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-042,REQ-TODO-052,Missing test for state change from completed to active while filter is active,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-043,REQ-TODO-053,Missing test for empty filter view when filter is applied and no items match,Error,Medium,['Error Guessing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-044,REQ-TODO-054,Missing test for filter preservation after deleting last item in filtered view,State Transition,Medium,['State Transition Testing'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-045,REQ-TODO-055,Missing test for active count display when multiple items exist,Functional,Medium,['Equivalence Partitioning'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
COV-AI-046,REQ-TODO-056,Missing test for zero active count when all todos are completed,Functional,Medium,['Equivalence Partitioning'],['llm-suggested'],"Missing coverage identified for state transitions, error handling, boundary values, and functional edge cases."
